,,,,,
AL,ALABAMA,,,,
AK,ALASKA,,,,
AZ,ARIZONA,,,,
AR,ARKANSAS,,,,
CA,CALIFORNIA,,,,
CO,COLORADO,,,,
CT,CONNECTICUT,,,,
DE,DELAWARE,,,,
DC,DISTRICT OF COLUMBIA,,,,
FL,FLORIDA,,,,
GA,GEORGIA,,,,
GU,GUAM,,,,
HI,HAWAII,,,,
ID,IDAHO,,,,
IL,ILLINOIS,,,,
IN,INDIANA,,,,
IA,IOWA,,,,
KS,KANSAS,,,,
KY,KENTUCKY,,,,
LA,LOUISIANA,,,,
ME,MAINE,,,,
MD,MARYLAND,,,,
MA,MASSACHUSETTS,,,,
MI,MICHIGAN,,,,
MN,MINNESOTA,,,,
MS,MISSISSIPPI,,,,
MO,MISSOURI,,,,
MT,MONTANA,,,,
NC,NORTH CAROLINA,,,,
ND,NORTH DAKOTA,,,,
NE,NEBRASKA,,,,
NV,NEVADA,,,,
NH,NEW HAMPSHIRE,,,,
NJ,NEW JERSEY,,,,
NM,NEW MEXICO,,,,
NY,NEW YORK,,,,
OH,OHIO,,,,
OK,OKLAHOMA,,,,
OR,OREGON,,,,
PA,PENNSYLVANIA,,,,
PR,PUERTO RICO,,,,
RI,RHODE ISLAND,,,,
SC,SOUTH CAROLINA,,,,
SD,SOUTH DAKOTA,,,,
TN,TENNESSEE,,,,
TX,TEXAS,,,,
UT,UTAH,,,,
VT,VERMONT,,,,
VI,VIRGIN ISLANDS,,,,
VA,VIRGINIA,,,,
WV,WEST VIRGINIA,,,,
WA,WASHINGTON,,,,
WI,WISCONSON,,,,
WY,WYOMING ,,,,
99,All Other Codes ,,,,
